TIPO_DE_APORTE;TIPO_APORTANTE;NOMBRE_CANDIDATO_PARTIDO_POLITICO;TIPO_DONATARIO;ELECCION;REGION;DISTRITO;PUEBLO;PACTO;PARTIDO;FECHA_DE_TRANSFERENCIA; MONTO 
SIN PUBLICIDAD;PERSONA NATURAL;PATRICIA ISABEL VALDERAS SILVA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL BIOBIO;DISTRITO 21;;APRUEBO DIGNIDAD;IND PARTIDO COMUNISTA DE CHILE;19-03-21; 20.000 
CON PUBLICIDAD;PERSONA NATURAL;ROLANDO PEDRO HUMIRE COCA;CANDIDATO;CONVENCIONALES CONSTITUYENTES - PUEBLOS INDIGENAS;DE ANTOFAGASTA;;LICAN ANTAY o ATACAMEÑO;;;19-03-21; 25.000 
CON PUBLICIDAD;PERSONA NATURAL;ALVIN ANTONIO SALDAÑA MUÑOZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 15;;MOVIMIENTOS SOCIALES AUTONOMOS (D15);INDEPENDIENTES;19-03-21; 20.000 
SIN PUBLICIDAD;PERSONA NATURAL;TERESA ADRIANA POBLETE PINOCHET;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO (D8);INDEPENDIENTES;19-03-21; 30.000 
CON PUBLICIDAD;PERSONA NATURAL;TERESA ADRIANA POBLETE PINOCHET;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO (D8);INDEPENDIENTES;19-03-21; 10.000 
CON PUBLICIDAD;PERSONA NATURAL;JOSEFFE TAMARA CACERES TORRES;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;PARTIDO TRABAJADORES REVOLUCIONARIOS;19-03-21; 5.000 
SIN PUBLICIDAD;PERSONA NATURAL;CAROLINA PAZ PEREZ DATTARI;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;APRUEBO DIGNIDAD;REVOLUCION DEMOCRATICA;19-03-21; 20.000 
CON PUBLICIDAD;PERSONA NATURAL;GLORIA DEL TRANSITO ALVARADO JORQUERA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 16;;CORRIENTES INDEPENDIENTES (D16);INDEPENDIENTES;19-03-21; 170.000 
CON PUBLICIDAD;PERSONA NATURAL;NATHALY ANDREA OLIVARES BIGNANI;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE COQUIMBO;DISTRITO 5;;INDEPENDIENTES DEL APRUEBO REGION COQUIMBO;INDEPENDIENTES;19-03-21; 40.000 
CON PUBLICIDAD;PERSONA NATURAL;RODRIGO ANTONIO POBLETE REYES;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 17;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 20.000 
SIN PUBLICIDAD;PERSONA NATURAL;ANITA PAZ JARAMILLO GALLARDO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;PARTIDO TRABAJADORES REVOLUCIONARIOS;19-03-21; 5.000 
CON PUBLICIDAD;PERSONA NATURAL;CATALINA LAGOS TSCHORNE;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;LISTA DEL APRUEBO;PARTIDO SOCIALISTA DE CHILE;19-03-21; 80.000 
CON PUBLICIDAD;PERSONA NATURAL;ALEJANDRO ADRIAN CANTILLANA PARETTI;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;INDEPENDIENTES Y MOVIMIENTOS SOCIALES DEL APRUEBO (D8);INDEPENDIENTES;19-03-21; 50.000 
CON PUBLICIDAD;PERSONA NATURAL;MACARENA VENEGAS TASSARA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 1.200.000 
CON PUBLICIDAD;PERSONA NATURAL;NATHALY ANDREA OLIVARES BIGNANI;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE COQUIMBO;DISTRITO 5;;INDEPENDIENTES DEL APRUEBO REGION COQUIMBO;INDEPENDIENTES;19-03-21; 250.000 
CON PUBLICIDAD;PERSONA NATURAL;CRISTOBAL PATRICIO BELLOLIO BADIOLA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 5.000 
CON PUBLICIDAD;PERSONA NATURAL;CRISTOBAL PATRICIO BELLOLIO BADIOLA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 3.000 
SIN PUBLICIDAD;PERSONA NATURAL;FELIPE IGNACIO MENA VILLAR;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE LOS RIOS;DISTRITO 24;;VAMOS POR CHILE;UNION DEMOCRATA INDEPENDIENTE;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;MARIA EUGENIA HORMAZABAL CARVAJAL;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 18;;VAMOS POR CHILE;UNION DEMOCRATA INDEPENDIENTE;19-03-21; 570.000 
SIN PUBLICIDAD;PERSONA NATURAL;CRISTOBAL ORREGO SANCHEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 14;;VAMOS POR CHILE;PARTIDO REPUBLICANO DE CHILE;19-03-21; 280.000 
CON PUBLICIDAD;PERSONA NATURAL;PABLO SEBASTIAN PERELLO PEREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL BIOBIO;DISTRITO 21;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 2.000.000 
CON PUBLICIDAD;PERSONA NATURAL;FREDDY MARCOS ARANEDA BARAHONA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE TARAPACA;DISTRITO 2;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 1.000.000 
CON PUBLICIDAD;PERSONA NATURAL;MARIA ANGELICA FERNANDEZ GUTIERREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE LOS RIOS;DISTRITO 24;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 1.000.000 
CON PUBLICIDAD;PERSONA NATURAL;HARRY JURGENSEN CAESAR;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE LOS LAGOS;DISTRITO 25;;VAMOS POR CHILE;RENOVACION NACIONAL;19-03-21; 2.000.000 
CON PUBLICIDAD;PERSONA NATURAL;LAURA  ALBORNOZ POLLMANN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;LISTA DEL APRUEBO;PARTIDO DEMOCRATA CRISTIANO;19-03-21; 100.000 
CON PUBLICIDAD;PERSONA NATURAL;RICARDO ANDRES NEUMANN BERTIN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 16;;VAMOS POR CHILE;IND UNION DEMOCRATA INDEPENDIENTE;19-03-21; 150.000 
CON PUBLICIDAD;PERSONA NATURAL;PAULINA ANDREA LOBOS HERRERA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;VAMOS POR CHILE;EVOLUCION POLITICA;19-03-21; 150.000 
CON PUBLICIDAD;PERSONA NATURAL;GIANINA ELIZABETH FIGUEROA IPINZA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 7;;APRUEBO DIGNIDAD;INDEPENDIENTES;19-03-21; 500.000 
CON PUBLICIDAD;PERSONA NATURAL;LAURA  ALBORNOZ POLLMANN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;LISTA DEL APRUEBO;PARTIDO DEMOCRATA CRISTIANO;19-03-21; 300.000 
SIN PUBLICIDAD;PERSONA NATURAL;CONSTANZA VERONICA HUBE PORTUS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;VAMOS POR CHILE;UNION DEMOCRATA INDEPENDIENTE;19-03-21; 570.000 
CON PUBLICIDAD;PERSONA NATURAL;MARIANA AYLWIN OYARZUN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;INDEPENDIENTES CON CHILE (D11);INDEPENDIENTES;19-03-21; 1.500.000 
SIN PUBLICIDAD;PERSONA NATURAL;DUILIO RENZO DE LAPEYRA PALMA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;HENRY  BOYS LOEB;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;;INDEPENDIENTES;19-03-21; 30.000 
SIN PUBLICIDAD;PERSONA NATURAL;XIMENA FRANCISCA AYALA FARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;ENRIQUE CAMPINO LARRAIN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 14;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 574.000 
SIN PUBLICIDAD;PERSONA NATURAL;ANDRES CAREY CARVALLO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
CON PUBLICIDAD;PERSONA NATURAL;DUILIO RENZO DE LAPEYRA PALMA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;XIMENA FRANCISCA AYALA FARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
CON PUBLICIDAD;PERSONA NATURAL;FRANCISCA DESBORDES SALCES;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;VAMOS POR CHILE;RENOVACION NACIONAL;19-03-21; 1.500.000 
CON PUBLICIDAD;PERSONA NATURAL;DANIELA ALDONEY RAMIREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;INDEPENDIENTES POR LA NUEVA CONSTITUCION (D6);INDEPENDIENTES;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;DANIEL ALEJANDRO BRAVO SILVA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE COQUIMBO;DISTRITO 5;;LISTA DEL PUEBLO - MOVIMIENTO TERRITORIAL CONSTITUYENTE (D5);INDEPENDIENTES;19-03-21; 1.000 
CON PUBLICIDAD;PERSONA NATURAL;CRISTOBAL ORREGO SANCHEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 14;;VAMOS POR CHILE;PARTIDO REPUBLICANO DE CHILE;19-03-21; 150.000 
SIN PUBLICIDAD;PERSONA NATURAL;CHRISTIAN PABLO VIERA ALVAREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 17;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 45.000 
CON PUBLICIDAD;PERSONA NATURAL;ROMANINA MORALES BALTRA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;LISTA DEL APRUEBO;PARTIDO SOCIALISTA DE CHILE;19-03-21; 500.000 
CON PUBLICIDAD;PERSONA NATURAL;PIA CASTELLI FENICK;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;LISTA DEL APRUEBO;PARTIDO POR LA DEMOCRACIA;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;MACARENA LOBOS PALACIOS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;INDEPENDIENTES POR LA NUEVA CONSTITUCION  (D10);INDEPENDIENTES;19-03-21; 250.000 
SIN PUBLICIDAD;PERSONA NATURAL;ROCIO  CANTUARIAS RUBIO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL BIOBIO;DISTRITO 20;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 40.000 
CON PUBLICIDAD;PERSONA NATURAL;PAULINA DEL ROSARIO MUÑOZ URETA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;TERESA MARGARITA MARINOVIC VIAL;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 274.177 
CON PUBLICIDAD;PERSONA NATURAL;NICOLE DENISSE ROMO FLORES;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D9);INDEPENDIENTES;19-03-21; 33.333 
CON PUBLICIDAD;PERSONA NATURAL;PATRICIO HERMAN FERNANDEZ CHADWICK;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 110.000 
SIN PUBLICIDAD;PERSONA NATURAL;DUILIO RENZO DE LAPEYRA PALMA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 177.000 
CON PUBLICIDAD;PERSONA NATURAL;RICARDO MONTERO ALLENDE;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 18;;LISTA DEL APRUEBO;PARTIDO SOCIALISTA DE CHILE;19-03-21; 120.000 
CON PUBLICIDAD;PERSONA NATURAL;XIMENA FRANCISCA AYALA FARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 500.000 
CON PUBLICIDAD;PERSONA NATURAL;MARIA MACARENA LETELIER VELASCO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 100.000 
CON PUBLICIDAD;PERSONA NATURAL;JORGE CORREA SUTIL;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;LISTA DEL APRUEBO;PARTIDO DEMOCRATA CRISTIANO;19-03-21; 600.000 
SIN PUBLICIDAD;PERSONA NATURAL;JORGE INSUNZA GREGORIO DE LAS HERAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 13;;LISTA DEL APRUEBO;PARTIDO POR LA DEMOCRACIA;19-03-21; 500.000 
SIN PUBLICIDAD;PERSONA NATURAL;JAIME ANDRES FLORES SIERRALTA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;VAMOS POR CHILE;UNION DEMOCRATA INDEPENDIENTE;19-03-21; 200.000 
CON PUBLICIDAD;PERSONA NATURAL;CRISTIAN IVAN BELLEI CARVACHO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 7;;APRUEBO DIGNIDAD;INDEPENDIENTES;19-03-21; 2.000 
CON PUBLICIDAD;PERSONA NATURAL;CHRISTIAN PABLO VIERA ALVAREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 17;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 2.000 
CON PUBLICIDAD;PERSONA NATURAL;FERNANDO ATRIA LEMAITRE;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;APRUEBO DIGNIDAD;IND REVOLUCION DEMOCRATICA;19-03-21; 2.000 
CON PUBLICIDAD;PERSONA NATURAL;CRISTINA INES DORADOR ORTIZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE ANTOFAGASTA;DISTRITO 3;;MOVIMIENTO INDEPENDIENTES DEL NORTE (D3);INDEPENDIENTES;19-03-21; 2.000 
CON PUBLICIDAD;PERSONA NATURAL;PATRICIA ELENA RADA SALAZAR;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE LOS LAGOS;DISTRITO 26;;APRUEBO DIGNIDAD;INDEPENDIENTES;19-03-21; 2.000 
SIN PUBLICIDAD;PERSONA NATURAL;RUBEN SEBASTIAN MIRANDA VASQUEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;INDEPENDIENTES DISTRITO 6 + LISTA DEL PUEBLO (D6);INDEPENDIENTES;19-03-21; 10.000 
SIN PUBLICIDAD;PERSONA NATURAL;HAYDEE MELANIA DEL CARMEN OBERREUTER UMAZABAL;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;APRUEBO DIGNIDAD;INDEPENDIENTES;19-03-21; 100.000 
CON PUBLICIDAD;PERSONA NATURAL;CHRISTIAN PABLO VIERA ALVAREZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL MAULE;DISTRITO 17;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 1.000.000 
CON PUBLICIDAD;PERSONA NATURAL;GLORIA DEL TRANSITO ALVARADO JORQUERA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 16;;CORRIENTES INDEPENDIENTES (D16);INDEPENDIENTES;19-03-21; 300.000 
SIN PUBLICIDAD;PERSONA NATURAL;LAURA  ALBORNOZ POLLMANN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 10;;LISTA DEL APRUEBO;PARTIDO DEMOCRATA CRISTIANO;19-03-21; 200.000 
CON PUBLICIDAD;PERSONA NATURAL;SARA FERNANDA VILLARROEL SAN MARTIN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE ARICA Y PARINACOTA;DISTRITO 1;;INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1);INDEPENDIENTES;19-03-21; 20.000 
CON PUBLICIDAD;PERSONA NATURAL;JUDITH ESTHER LUNA DUARTE;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE ARICA Y PARINACOTA;DISTRITO 1;;INDEPENDIENTES POR UNA NUEVA CONSTITUCION (D1);INDEPENDIENTES;19-03-21; 10.000 
SIN PUBLICIDAD;PERSONA NATURAL;RENE  CORTAZAR SANZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;LISTA DEL APRUEBO;PARTIDO DEMOCRATA CRISTIANO;19-03-21; 250.000 
CON PUBLICIDAD;PERSONA NATURAL;MARIANA AYLWIN OYARZUN;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;INDEPENDIENTES CON CHILE (D11);INDEPENDIENTES;19-03-21; 250.000 
SIN PUBLICIDAD;PERSONA NATURAL;CLEMENTE  PEREZ ERRAZURIZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;INDEPENDIENTES CON CHILE (D11);INDEPENDIENTES;19-03-21; 200.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;GLORIA SUSANA CORDOVA RODRIGUEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 11;;PARTIDO HUMANISTA;PARTIDO HUMANISTA;19-03-21; 2.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;BERNARDO  DE LA MAZA BAÑADOS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PERSONA NATURAL;RUGGERO COZZI ELZO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;VAMOS POR CHILE;RENOVACION NACIONAL;19-03-21; 1.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;TOMAS  MANDIOLA LAGOS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE LOS RIOS;DISTRITO 24;;VAMOS POR CHILE;EVOLUCION POLITICA;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;XIMENA FRANCISCA AYALA FARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;JOSE ANTONIO VALENZUELA MAC-KELLAR;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;VAMOS POR CHILE;EVOLUCION POLITICA;19-03-21; 5.000.000 
CON PUBLICIDAD;PERSONA NATURAL;CLAUDIO GOMEZ CASTRO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;LISTA DEL APRUEBO;INDEPENDIENTES;19-03-21; 1.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;MACARENA VENEGAS TASSARA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;MARCELO VICTOR HERRERA CARREÑO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 7;;PARTIDO HUMANISTA;PARTIDO HUMANISTA;19-03-21; 2.000.000 
CON PUBLICIDAD;PERSONA NATURAL;TANIA VERONICA CORDOVA CASTRO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 7;;VAMOS POR CHILE;RENOVACION NACIONAL;19-03-21; 1.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;MACARENA VENEGAS TASSARA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 12;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;HOTUITI RANGI TEAO DRAGO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 7;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;PRISCILA HAYDEE CASTILLO ARREDONDO;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;PARTIDO HUMANISTA;PARTIDO HUMANISTA;19-03-21; 2.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;BERNARDO  DE LA MAZA BAÑADOS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 4.000.000 
CON PUBLICIDAD;PERSONA NATURAL;JOSE MARIA HURTADO FERNANDEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 16;;VAMOS POR CHILE;RENOVACION NACIONAL;19-03-21; 1.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;GEOCONDA NAVARRETE ARRATIA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;DISTRITO 27;;VAMOS POR CHILE;EVOLUCION POLITICA;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;RICHARD FERNANDO CAIFAL PIUTRIN;CANDIDATO;CONVENCIONALES CONSTITUYENTES - PUEBLOS INDIGENAS;DE LA ARAUCANIA;;MAPUCHE;;;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;GEOCONDA NAVARRETE ARRATIA;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO;DISTRITO 27;;VAMOS POR CHILE;EVOLUCION POLITICA;19-03-21; 7.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;XIMENA FRANCISCA AYALA FARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 9;;VAMOS POR CHILE;INDEPENDIENTES;19-03-21; 5.000.000 
CON PUBLICIDAD;PARTIDO POLÍTICO;CAMILA PAZ CACERES FUENTES;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 8;;PARTIDO HUMANISTA;PARTIDO HUMANISTA;19-03-21; 3.000.000 
CON PUBLICIDAD;PERSONA NATURAL;JUAN DE DIOS VALDIVIESO TAGLE;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS;DISTRITO 16;;VAMOS POR CHILE;IND RENOVACION NACIONAL;19-03-21; 1.000.000 
SIN PUBLICIDAD;PERSONA NATURAL;CHIARA NATALIA BARCHIESI CHAVEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;DE VALPARAISO;DISTRITO 6;;VAMOS POR CHILE;PARTIDO REPUBLICANO DE CHILE;19-03-21; 250.000 
SIN PUBLICIDAD;PERSONA NATURAL;CRISTOBAL ORREGO SANCHEZ;CANDIDATO;CONVENCIONALES CONSTITUYENTES;METROPOLITANA DE SANTIAGO;DISTRITO 14;;VAMOS POR CHILE;PARTIDO REPUBLICANO DE CHILE;19-03-21; 100.000 
CON PUBLICIDAD;PERSONA NATURAL;ROSA ELIZABETH CATRILEO ARIAS;CANDIDATO;CONVENCIONALES CONSTITUYENTES - PUEBLOS INDIGENAS;DE LA ARAUCANIA;;MAPUCHE;;;19-03-21; 50.000 
